73	57
73	124
73	32
73	40
73	118
73	15
15	15
15	13
15	125
125	126
125	24
126	137
126	120
74	98
74	76
75	98
98	33
67	32
104	102
104	33
104	91
77	104
77	102
77	76
77	57
77	128
77	118
77	4
68	97
68	76
69	97
97	33
11	24
11	4
11	103
56	32
56	38
56	85
56	59
56	95
56	6
95	6
95	7
95	40
95	118
95	8
7	91
8	8
8	13
134	120
134	135
135	142
29	131
145	133
145	144
128	103
129	144
103	105
24	23
17	134
110	133
110	109
44	133
40	43
45	40
100	113
84	85
85	33
19	18
19	145
19	21
21	20
21	21
21	4
21	144
20	123
20	18
20	128
20	4
123	122
55	32
119	120
119	113
87	33
87	61
86	33
86	127
86	76
86	89
86	82
86	85
86	65
86	80
86	72
58	109
58	57
58	31
58	44
58	63
59	31
59	138
59	26
59	118
138	76
138	110
138	57
60	31
26	61
26	90
26	120
26	63
64	96
96	32
106	76
106	91
106	130
106	27
130	112
130	111
112	94
27	50
27	121
27	47
27	144
27	107
27	108
50	52
50	25
50	53
50	49
50	48
50	51
52	142
121	101
47	52
49	5
49	142
49	117
53	5
53	117
107	3
62	29
62	118
62	4
32	94
31	94
66	31
61	32
42	61
33	32
70	32
70	36
70	34
70	63
70	118
70	12
70	57
70	116
88	32
88	35
88	34
88	5
88	63
88	118
88	12
88	57
89	32
22	4
22	145
90	32
90	42
0	90
92	32
92	42
91	24
91	57
79	99
79	76
99	63
99	33
99	38
99	35
99	34
16	24
16	4
78	118
82	33
65	33
80	32
80	39
80	76
81	32
81	40
81	63
81	57
81	118
81	4
72	71
71	31
71	37
71	127
71	76
71	44
37	61
114	63
114	57
114	17
114	118
114	9
115	118
115	57
115	9
115	10
115	76
115	63
10	120
83	32
140	141
143	24
143	28
143	132
132	133
132	100
